"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","4,935","10.5%","35.0%","52.6%","1.9%","31,373","1.5%","3.3%","24.6%","25.5%","15.2%","18.8%","11.0%","95.2%","29.8%","7,180","95.4%","26.4%","5,569","99.4%","19.5%","12,710","96.0%","32.5%","5,914","89.4%","37.6%","","4.0%","8.8%","3.9%","1.3%","","42,208","16,892","30,389","37,494","60,574","68,744","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,196","22.9%","23.8%","46.9%","6.4%","32,588","0.3%","4.2%","23.7%","34.8%","10.2%","14.7%","12.0%","95.5%","26.7%","7,460","94.2%","30.3%","5,175","98.5%","35.8%","12,742","97.3%","26.8%","7,211","91.6%","16.5%","","21.5%","14.1%","10.9%","0.4%","","31,050","2,500-","26,130","27,280","40,031","52,568","","(X)"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","907,610","14.3%","28.0%","44.0%","13.8%","6,334,694","6.3%","6.6%","24.8%","20.2%","7.0%","21.4%","13.7%","87.2%","35.1%","1,372,480","90.0%","41.7%","1,293,837","87.4%","38.9%","2,483,761","88.3%","34.1%","1,184,616","81.2%","25.6%","","23.6%","14.4%","11.0%","5.0%","","40,037","21,419","30,186","35,197","51,970","71,292","","7.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","463,424","16.5%","30.7%","41.2%","11.6%","3,031,498","6.3%","7.0%","25.6%","20.0%","6.1%","21.1%","13.9%","86.7%","35.0%","682,070","88.8%","37.2%","640,591","86.5%","37.2%","1,205,255","87.6%","33.9%","503,582","82.0%","31.8%","","20.4%","12.3%","8.3%","4.6%","","46,963","25,218","35,276","43,203","65,194","90,641","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","444,186","11.9%","25.1%","46.8%","16.1%","3,303,196","6.2%","6.2%","24.2%","20.4%","7.8%","21.6%","13.6%","87.6%","35.2%","690,410","91.1%","46.1%","653,246","88.2%","40.6%","1,278,506","89.1%","34.2%","681,034","80.6%","20.9%","","26.7%","16.4%","13.3%","5.4%","","32,257","16,791","23,441","29,363","42,272","60,107","","(X)"
"Chico, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,938","11.2%","27.2%","51.7%","10.0%","141,998","4.3%","7.2%","23.1%","29.5%","9.3%","18.2%","8.5%","88.5%","26.6%","26,667","90.0%","27.4%","23,227","89.0%","24.6%","55,147","89.4%","27.6%","36,957","85.8%","26.0%","","26.9%","16.1%","17.6%","6.6%","","31,607","18,850","24,132","30,170","43,508","55,295","","7.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,987","13.9%","32.4%","47.2%","6.5%","68,948","4.1%","8.2%","23.6%","29.3%","7.9%","19.2%","7.8%","87.7%","27.0%","13,973","88.0%","27.9%","11,471","87.3%","26.4%","26,899","88.5%","27.0%","16,605","86.5%","26.6%","","24.6%","16.0%","18.0%","5.5%","","40,556","23,580","27,021","39,025","55,501","64,202","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,951","8.3%","21.6%","56.4%","13.7%","73,050","4.5%","6.3%","22.6%","29.7%","10.6%","17.2%","9.1%","89.2%","26.3%","12,694","92.1%","26.9%","11,756","90.7%","22.8%","28,248","90.2%","28.1%","20,352","85.2%","25.5%","","29.4%","16.2%","17.2%","7.6%","","25,850","11,617","20,387","25,547","30,150","47,155","","(X)"
"Chillicothe, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,296","15.9%","43.7%","39.9%","0.5%","54,443","3.6%","9.9%","46.0%","18.1%","9.0%","8.3%","5.0%","86.4%","13.4%","9,489","83.6%","11.5%","10,961","88.6%","20.9%","22,822","87.8%","13.0%","11,171","83.8%","8.3%","","38.1%","14.1%","10.8%","5.5%","","31,987","17,220","26,774","35,965","50,466","70,574","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,377","23.9%","54.6%","21.5%","0.0%","28,088","3.6%","10.1%","45.6%","21.0%","7.7%","7.6%","4.4%","86.3%","11.9%","5,283","79.8%","9.2%","6,165","84.0%","17.0%","11,853","91.4%","11.0%","4,787","83.5%","10.9%","","36.3%","11.7%","8.9%","3.7%","","36,225","19,739","30,565","41,908","52,328","71,573","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,919","6.7%","31.0%","61.3%","1.1%","26,355","3.7%","9.8%","46.4%","15.0%","10.3%","9.2%","5.7%","86.6%","14.9%","4,206","88.5%","14.5%","4,796","94.4%","25.9%","10,969","84.0%","15.1%","6,384","84.0%","6.4%","","39.6%","16.4%","12.7%","6.9%","","30,497","9,770","25,409","30,591","46,129","59,806","","(X)"
"Cincinnati, OH-KY-IN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","202,606","11.5%","34.3%","42.4%","11.8%","1,411,811","3.1%","7.3%","30.4%","19.7%","8.3%","19.6%","11.5%","89.6%","31.2%","276,394","91.6%","35.9%","269,317","93.2%","35.7%","582,023","90.6%","30.4%","284,077","82.0%","23.8%","","27.7%","12.7%","10.8%","4.3%","","37,049","20,242","29,256","32,458","51,694","64,173","","6.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","103,091","12.5%","35.7%","41.3%","10.6%","676,039","3.3%","7.7%","30.3%","19.4%","6.8%","20.8%","11.7%","89.0%","32.5%","135,766","90.6%","33.3%","133,748","92.7%","34.1%","283,417","89.1%","32.0%","123,108","83.1%","30.9%","","23.1%","11.1%","9.3%","3.1%","","45,414","24,742","35,002","40,448","66,664","82,714","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99,515","10.5%","32.8%","43.6%","13.1%","735,772","3.0%","7.0%","30.6%","20.0%","9.6%","18.6%","11.4%","90.1%","30.0%","140,628","92.6%","38.3%","135,569","93.7%","37.3%","298,606","92.0%","28.9%","160,969","81.2%","18.4%","","32.4%","14.1%","12.1%","5.4%","","30,268","14,176","23,090","27,690","40,266","51,785","","(X)"
"Claremont-Lebanon, NH-VT Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,503","9.2%","28.6%","54.7%","7.5%","155,300","3.1%","5.3%","33.0%","16.8%","8.1%","19.4%","14.3%","91.6%","33.7%","24,360","93.9%","37.2%","23,604","93.2%","35.3%","67,874","93.3%","34.3%","39,462","86.1%","29.6%","","13.8%","11.7%","8.4%","5.0%","","36,661","29,232","29,532","35,927","41,115","56,500","","5.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,289","11.3%","28.8%","52.2%","7.8%","75,351","3.9%","7.1%","35.0%","14.7%","7.1%","18.2%","14.0%","89.0%","32.2%","12,159","93.2%","29.1%","11,746","90.4%","33.4%","33,176","90.8%","31.9%","18,270","82.1%","33.9%","","11.9%","9.6%","7.4%","5.5%","","41,524","31,189","35,699","41,987","46,299","71,641","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,214","7.0%","28.3%","57.4%","7.3%","79,949","2.4%","3.7%","31.0%","18.8%","9.0%","20.6%","14.5%","94.0%","35.2%","12,201","94.6%","45.3%","11,858","95.9%","37.1%","34,698","95.8%","36.6%","21,192","89.5%","26.0%","","17.1%","14.0%","9.1%","4.6%","","32,053","19,947","21,943","31,060","37,155","51,659","","(X)"
"Clarksburg, WV Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,725","14.7%","41.0%","35.3%","8.9%","65,801","3.3%","9.4%","41.2%","17.8%","7.5%","12.8%","7.9%","87.3%","20.8%","10,786","93.9%","29.0%","11,150","89.4%","24.5%","27,062","86.4%","20.9%","16,803","83.1%","12.8%","","25.4%","17.3%","11.0%","3.0%","","31,148","21,081","26,325","29,299","52,572","49,810","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,786","11.1%","61.5%","21.2%","6.1%","32,656","3.7%","10.0%","43.5%","16.4%","6.3%","13.5%","6.6%","86.3%","20.1%","5,641","93.3%","22.7%","6,030","87.0%","17.9%","13,365","85.1%","21.1%","7,620","82.7%","18.1%","","25.5%","12.5%","10.3%","3.5%","","35,818","21,903","30,358","40,846","70,562","61,974","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,939","18.2%","21.6%","48.6%","11.6%","33,145","2.9%","8.8%","39.0%","19.2%","8.6%","12.2%","9.3%","88.3%","21.5%","5,145","94.6%","35.8%","5,120","92.2%","32.4%","13,697","87.7%","20.8%","9,183","83.5%","8.4%","","25.3%","22.6%","11.6%","2.4%","","27,578","10,786","18,990","25,876","42,500","46,061","","(X)"
"Clarksville, TN-KY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,455","12.6%","35.5%","43.4%","8.5%","163,736","3.6%","7.1%","29.9%","27.0%","9.2%","16.6%","6.6%","89.3%","23.2%","47,348","93.3%","26.7%","34,611","94.6%","27.5%","55,306","87.9%","21.3%","26,471","78.0%","15.5%","","29.6%","13.8%","13.7%","4.2%","","32,349","27,347","26,794","31,015","44,443","55,660","","10.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,295","11.2%","41.3%","42.1%","5.4%","80,479","3.8%","6.8%","30.5%","28.0%","8.7%","15.9%","6.4%","89.4%","22.3%","24,639","95.0%","23.2%","17,199","96.0%","22.8%","27,192","84.6%","20.8%","11,449","79.2%","22.9%","","17.3%","11.8%","7.3%","1.9%","","41,213","41,007","32,178","40,494","53,720","76,568","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,160","14.4%","28.1%","45.0%","12.5%","83,257","3.4%","7.5%","29.4%","25.9%","9.7%","17.4%","6.8%","89.1%","24.1%","22,709","91.6%","30.4%","17,412","93.2%","32.0%","28,114","91.1%","21.7%","15,022","77.2%","9.9%","","40.8%","15.6%","19.9%","6.3%","","24,225","15,430","18,499","20,578","32,998","45,711","","(X)"
"Clearlake, CA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,355","13.6%","47.7%","33.3%","5.5%","45,601","8.4%","11.4%","28.3%","25.2%","12.2%","8.8%","5.7%","80.2%","14.5%","6,831","81.5%","8.2%","6,307","72.6%","11.1%","19,841","79.5%","11.2%","12,622","84.5%","24.7%","","32.7%","18.7%","16.7%","12.3%","","27,291","21,963","21,130","32,228","41,587","26,425","","19.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,003","16.5%","49.0%","34.5%","0.0%","22,043","9.9%","14.2%","26.2%","22.3%","11.7%","9.4%","6.3%","75.9%","15.7%","3,536","76.8%","8.4%","3,034","69.8%","15.4%","9,592","73.0%","8.1%","5,881","83.2%","32.7%","","38.2%","15.5%","16.7%","15.7%","","36,629","20,147","36,415","50,090","42,240","7,240","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,352","9.8%","46.0%","31.7%","12.4%","23,558","6.9%","8.8%","30.4%","28.0%","12.7%","8.1%","5.2%","84.3%","13.3%","3,295","86.6%","8.1%","3,273","75.3%","7.1%","10,249","85.6%","14.1%","6,741","85.6%","17.7%","","24.9%","21.2%","16.6%","8.6%","","24,889","25,591","15,398","27,713","26,957","60,111","","(X)"
"Cleveland, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,757","12.5%","48.3%","38.6%","0.7%","81,264","9.3%","8.2%","34.5%","22.2%","8.3%","11.3%","6.4%","82.6%","17.6%","14,193","89.5%","16.6%","15,389","91.0%","24.8%","32,617","83.1%","17.1%","19,065","69.5%","13.3%","","32.0%","13.1%","9.8%","5.0%","","31,045","16,566","24,917","34,799","41,947","48,595","","6.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,626","13.2%","62.0%","24.8%","0.0%","38,662","10.8%","7.2%","32.9%","22.9%","6.7%","13.3%","6.2%","82.0%","19.5%","7,103","89.9%","10.7%","7,463","89.4%","28.1%","15,891","80.7%","19.5%","8,205","70.8%","19.1%","","25.8%","14.5%","3.2%","2.3%","","39,020","16,781","29,753","41,126","52,102","87,466","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,131","11.6%","33.4%","53.5%","1.4%","42,602","7.8%","9.1%","35.9%","21.6%","9.7%","9.4%","6.5%","83.1%","15.9%","7,090","89.2%","22.6%","7,926","92.5%","21.7%","16,726","85.5%","14.9%","10,860","68.5%","9.0%","","37.7%","12.0%","15.4%","7.9%","","25,932","16,306","20,211","30,829","31,794","42,089","","(X)"
"Cleveland-Elyria, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","180,014","17.2%","27.7%","43.7%","11.4%","1,426,443","3.0%","7.6%","29.7%","22.0%","7.9%","18.3%","11.5%","89.4%","29.8%","249,865","90.7%","37.6%","248,681","90.9%","35.1%","593,101","91.9%","28.7%","334,796","82.8%","21.9%","","34.0%","14.0%","11.7%","4.3%","","36,617","17,652","27,795","34,160","50,257","65,918","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91,461","20.1%","32.6%","37.8%","9.6%","669,543","3.2%","8.0%","30.0%","21.7%","6.9%","18.4%","11.9%","88.8%","30.3%","122,940","89.6%","35.5%","120,487","89.3%","31.6%","285,392","91.4%","28.9%","140,724","82.6%","27.4%","","30.3%","12.9%","8.6%","4.4%","","44,194","21,528","34,876","41,752","61,543","83,107","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,553","14.2%","22.8%","49.8%","13.3%","756,900","3.0%","7.2%","29.4%","22.3%","8.8%","18.2%","11.1%","89.8%","29.4%","126,925","91.8%","39.7%","128,194","92.3%","38.5%","307,709","92.3%","28.5%","194,072","82.9%","18.0%","","37.6%","15.0%","14.3%","4.2%","","30,776","14,103","22,303","28,025","41,703","55,459","","(X)"
"Coeur d'Alene, ID Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,587","24.1%","28.8%","40.6%","6.5%","97,666","1.8%","4.8%","30.7%","28.2%","11.6%","14.6%","8.4%","93.4%","23.0%","18,236","91.6%","23.2%","16,774","94.6%","21.4%","39,037","95.7%","23.2%","23,619","90.3%","23.7%","","13.9%","13.2%","7.7%","4.4%","","31,904","22,045","28,429","30,677","39,386","59,256","","6.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,571","30.0%","30.8%","34.8%","4.4%","47,130","2.0%","5.0%","32.5%","26.3%","10.0%","13.9%","10.2%","93.0%","24.1%","8,768","93.6%","20.7%","8,534","91.3%","21.3%","18,603","96.1%","23.7%","11,225","88.8%","29.7%","","15.8%","9.1%","6.5%","6.6%","","36,948","32,097","35,733","35,136","50,308","70,864","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,016","17.6%","26.7%","46.9%","8.9%","50,536","1.6%","4.6%","28.9%","29.9%","13.0%","15.2%","6.8%","93.8%","22.0%","9,468","89.7%","25.4%","8,240","98.0%","21.5%","20,434","95.3%","22.8%","12,394","91.6%","18.2%","","11.9%","17.4%","8.7%","2.2%","","25,821","20,774","20,712","26,960","33,590","51,280","","(X)"
"College Station-Bryan, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,917","5.1%","14.3%","68.9%","11.7%","126,678","7.3%","9.3%","24.0%","20.4%","4.8%","19.0%","15.2%","83.4%","34.2%","35,422","86.6%","39.7%","24,841","77.9%","34.0%","42,386","86.3%","33.2%","24,029","79.3%","27.9%","","30.6%","19.0%","11.4%","6.9%","","31,246","21,057","26,098","32,732","40,359","50,522","","7.3%"
